[24-11-01 12:21:04] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:21:04] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:21:42] 301    -4726.09 [    50000.0  249882.7  100000.0   46422.4 ]
[24-11-01 12:21:42] 302    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:42] 304    -4724.75 [    50000.0  249983.7  100000.0   46422.4 ]
[24-11-01 12:21:42] 306    -4724.64 [    50000.0  249991.5  100000.0   46422.4 ]
[24-11-01 12:21:42] 307    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:43] 309    -4724.57 [    50000.0  249997.8   99998.4   46422.4 ]
[24-11-01 12:21:43] 310    -4724.56 [    50000.0  249997.8   99999.4   46422.4 ]
[24-11-01 12:21:43] 312    -4724.56 [    50000.0  249997.8   99999.7   46422.4 ]
[24-11-01 12:21:43] 314    -4724.56 [    50000.0  249997.8   99999.9   46422.4 ]
[24-11-01 12:21:43] 316    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:43] 318    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:43] 320    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 322    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 324    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 326    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 327    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 328    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 329    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 330    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:44] 332    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:45] 334    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:45] 335    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:45] 336    -4724.56 [    50000.0  249997.8  100000.0   46422.4 ]
[24-11-01 12:21:45] 337    -4724.56 [    50000.0  249997.8  100000.0   46423.4 ]
[24-11-01 12:21:45] 338    -4724.56 [    50000.0  249997.8  100000.0   46425.0 ]
[24-11-01 12:21:45] 339    -4724.54 [    50000.0  249997.8  100000.0   46560.0 ]
[24-11-01 12:21:45] 340     -4724.6 [    50000.0  249997.8  100000.0   46778.4 ]
[24-11-01 12:21:46] 341    -4724.54 [    50000.0  249997.8  100000.0   46643.4 ]
[24-11-01 12:21:46] 342    -4724.54 [    50000.0  249997.8  100000.0   46508.4 ]
[24-11-01 12:21:46] 343    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:46] 344    -4724.54 [    50000.0  249997.8  100000.0   46562.7 ]
[24-11-01 12:21:46] 346    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:46] 348    -4724.71 [    49998.4  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:46] 349     -4724.6 [    49999.4  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 351    -4724.57 [    49999.7  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 353    -4724.55 [    49999.9  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 355    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 357    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 359    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 361    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:47] 363    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 365    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 367    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 369    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 371    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 373    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 375    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:48] 377    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 379    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 381    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 383    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 384    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 386    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 387    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:49] 388    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:50] 390    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:50] 391    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:50] 392    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
[24-11-01 12:21:50] 393    -4724.54 [    50000.0  249997.8  100000.0   46561.3 ]
