0 47256 47256
         28681721 function calls (28666075 primitive calls) in 20.833 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1259    0.006    0.000    0.006    0.000 {built-in method posix.stat}
     2742    0.005    0.000    0.006    0.000 gzip.py:86(read)
      317    0.002    0.000    0.006    0.000 function_base.py:497(add_newdoc)
      604    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:392(cached)
5126/4714    0.003    0.000    0.006    0.000 {built-in method __new__ of type object at 0x9584a0}
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
      930    0.004    0.000    0.006    0.000 inspect.py:2969(__init__)
      605    0.002    0.000    0.006    0.000 _inspect.py:96(getargspec)
15417/15408    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 pathlib.py:111(_WindowsFlavour)
      316    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      428    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
    54767    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     2636    0.002    0.000    0.005    0.000 font_manager.py:928(_json_decode)
      751    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:977(exec_module)
        1    0.000    0.000    0.005    0.005 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.005    0.005 sample_sets.py:131(<listcomp>)
        2    0.000    0.000    0.005    0.002 sample_sets.py:73(get_sample_variant_idx)
       30    0.001    0.000    0.005    0.000 enum.py:488(__new__)
        1    0.000    0.000    0.005    0.005 cm.py:1(<module>)
    77825    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
     1540    0.001    0.000    0.005    0.000 gzip.py:525(_add_read_data)
        1    0.000    0.000    0.005    0.005 _ufunc_config.py:1(<module>)
      289    0.005    0.000    0.005    0.000 {built-in method io.open_code}
       55    0.003    0.000    0.005    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
      512    0.001    0.000    0.004    0.000 __init__.py:163(match)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
        2    0.000    0.000    0.004    0.002 sample_sets.py:66(get_sample_alt_counts)
     2542    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    96384    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
       18    0.000    0.000    0.004    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.004    0.004 common.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
        1    0.000    0.000    0.004    0.004 category.py:1(<module>)
     6624    0.002    0.000    0.004    0.000 enum.py:691(__call__)
        3    0.000    0.000    0.004    0.001 patches.py:2211(__init_subclass__)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
        6    0.000    0.000    0.004    0.001 patches.py:2253(pprint_styles)
      782    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
      252    0.001    0.000    0.003    0.000 typing.py:1333(__init__)
   104/92    0.000    0.000    0.003    0.000 typing.py:461(__getitem__)
       12    0.000    0.000    0.003    0.000 core.py:1132(parse_string)
        6    0.000    0.000    0.003    0.001 patches.py:2257(<listcomp>)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
     1742    0.003    0.000    0.003    0.000 {built-in method zlib.crc32}
       92    0.000    0.000    0.003    0.000 typing.py:638(Union)
    11318    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       13    0.000    0.000    0.003    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.003    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
      586    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.003    0.003 _parser.py:1(<module>)
      412    0.002    0.000    0.003    0.000 enum.py:237(__set_name__)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
      209    0.001    0.000    0.003    0.000 _compiler.py:509(_compile_info)
      426    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      316    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      578    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.003    0.001 version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
       10    0.000    0.000    0.003    0.000 core.py:5706(__init__)
   306/12    0.001    0.000    0.003    0.000 core.py:809(_parseNoCache)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.001    0.001    0.003    0.003 arrayprint.py:1(<module>)
     7538    0.002    0.000    0.003    0.000 _parser.py:162(__getitem__)
      461    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     30/9    0.000    0.000    0.003    0.000 core.py:4577(leave_whitespace)
    72/12    0.000    0.000    0.003    0.000 core.py:4034(parseImpl)
      782    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      409    0.000    0.000    0.003    0.000 rcsetup.py:307(validate_color)
     7315    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.003    0.003 transforms.py:1(<module>)
      110    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
      461    0.000    0.000    0.002    0.000 core.py:522(copy)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
     5107    0.001    0.000    0.002    0.000 _parser.py:252(get)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:1(<module>)
        1    0.001    0.001    0.002    0.002 one_locus.py:34(compute_site_diff_probs)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
       32    0.000    0.000    0.002    0.000 colors.py:1036(from_list)
       11    0.000    0.000    0.002    0.000 util.py:251(_inner)
        3    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
 1296/427    0.002    0.000    0.002    0.000 _parser.py:172(getwidth)
      502    0.001    0.000    0.002    0.000 enum.py:356(__setitem__)
      160    0.002    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.002    0.002 numbers.py:1(<module>)
      461    0.001    0.000    0.002    0.000 copy.py:66(copy)
     62/9    0.000    0.000    0.002    0.000 core.py:3788(leave_whitespace)
      412    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
   133/64    0.000    0.000    0.002    0.000 core.py:3880(copy)
        1    0.000    0.000    0.002    0.002 contextvars.py:1(<module>)
      316    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     2634    0.001    0.000    0.002    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      538    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
       35    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 version.py:159(Version)
      438    0.000    0.000    0.002    0.000 colors.py:268(to_rgba)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        7    0.000    0.000    0.002    0.000 core.py:2810(__init__)
       18    0.000    0.000    0.002    0.000 rcsetup.py:662(cycler)
      289    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      356    0.000    0.000    0.002    0.000 inspect.py:786(_finddoc)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1360(__getitem__)
       53    0.000    0.000    0.002    0.000 util.py:284(<lambda>)
       24    0.001    0.000    0.002    0.000 util.py:186(_collapse_string_to_ranges)
     6137    0.002    0.000    0.002    0.000 _parser.py:231(__next)
       53    0.000    0.000    0.002    0.000 util.py:240(_make_synonym_function)
     1229    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
   133/64    0.000    0.000    0.002    0.000 core.py:3883(<listcomp>)
      533    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
 1664/189    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      354    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.002    0.002 core.py:394(ParserElement)
     1946    0.001    0.000    0.002    0.000 typing.py:1277(__setattr__)
 1664/189    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 axes3d.py:42(Axes3D)
       62    0.000    0.000    0.002    0.000 core.py:3796(<listcomp>)
       22    0.000    0.000    0.002    0.000 core.py:4989(parseImpl)
        1    0.000    0.000    0.002    0.002 __init__.py:240(_check_versions)
      645    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     2751    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.001    0.001    0.001    0.001 _compat_pickle.py:1(<module>)
      289    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       66    0.000    0.000    0.001    0.000 core.py:1410(__add__)
     4420    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1229    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
