[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:35:10] 135    -6967.92 [    14989.1   29194.8  735172.8     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:11] 136    -6890.96 [    14989.1   29194.8  805316.3     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:11] 138    -6875.98 [    14989.1   29194.8  848667.3     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:12] 140    -6881.01 [    14989.1   29194.8  826991.8     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:13] 142    -6877.36 [    14989.1   29194.8  840388.0     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:14] 144    -6876.44 [    14989.1   29194.8  845504.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:16] 146    -6876.16 [    14989.1   29194.8  847338.4     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:17] 147    -6875.98 [    14989.1   29194.8  848667.3     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:18] 148     -6873.4 [    14989.1   29194.8  848667.3     974.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:19] 149    -6869.23 [    14989.1   29194.8  848667.3     976.6    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:21] 150    -6477.42 [    14989.1   29194.8  848667.3    1152.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:22] 151    -6039.97 [    14989.1   29194.8  848667.3    1618.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:23] 152    -7576.09 [    14989.1   29194.8  848667.3    2372.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:24] 153    -6249.91 [    14989.1   29194.8  848667.3    1906.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:25] 154    -6101.67 [    14989.1   29194.8  848667.3    1440.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:26] 155    -6039.81 [    14989.1   29194.8  848667.3    1605.0    2965.8   27009.1   31683.1  8.94e-06 ]
