[24-11-01 23:54:13] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-01 23:54:13] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-01 23:57:25] 171  -1023253.01 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  3.38e-03 ]
[24-11-01 23:57:27] 176  -1053955.6 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05   1.3e-03 ]
[24-11-01 23:57:28] 178  -879514.83 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  5.03e-04 ]
[24-11-01 23:57:30] 180  -457460.19 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05    2.e-04 ]
[24-11-01 23:57:31] 182  -143379.75 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  8.39e-05 ]
[24-11-01 23:57:33] 184    -33325.8 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  3.96e-05 ]
[24-11-01 23:57:34] 186    -9438.41 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  2.27e-05 ]
[24-11-01 23:57:36] 187    -4517.48 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  1.04e-05 ]
[24-11-01 23:57:37] 188    -4404.07 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  1.20e-05 ]
[24-11-01 23:57:38] 189    -4403.89 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05   1.2e-05 ]
