[24-11-05 11:25:43] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:25:43] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:26:51] 117   -13771.66 [   699804.4   13138.0  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:52] 118   -13794.52 [   699804.4   12393.0  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:52] 119   -13770.12 [   699804.4   13520.9  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:53] 120   -13769.94 [   699804.4   13414.8  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:54] 121   -13769.96 [   699804.4   13457.1  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:54] 122    -13770.0 [   699804.4   13372.4  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:55] 123   -13769.94 [   699804.4   13414.8  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:56] 124   -13769.94 [   699804.4   13414.8  584104.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:56] 125   -13769.94 [   699804.4   13414.8  584106.0    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:57] 126   -13769.78 [   699804.4   13414.8  584282.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:58] 127   -13768.02 [   699804.4   13414.8  588357.3    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:58] 128   -13772.56 [   699804.4   13414.8  594950.7    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:59] 129   -13768.68 [   699804.4   13414.8  590875.8    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:00] 130   -13768.28 [   699804.4   13414.8  586800.8    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:00] 131   -13768.02 [   699804.4   13414.8  588399.8    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:01] 132   -13768.02 [   699804.4   13414.8  588314.8    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:02] 133   -13768.02 [   699804.4   13414.8  588357.3    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:03] 134   -13767.36 [   699804.4   13414.8  588357.3    1105.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:03] 135   -13766.31 [   699804.4   13414.8  588357.3    1107.0    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:04] 136    -13702.5 [   699804.4   13414.8  588357.3    1283.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:05] 137   -13702.04 [   699804.4   13414.8  588357.3    1305.5    2570.7   20790.2   25225.1  9.75e-06 ]
