[24-11-05 14:46:12] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:46:12] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:48:50] 150    -9010.32 [    14003.5 6466748.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:51] 151    -9009.98 [    14003.5 7609821.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:52] 152    -9009.62 [    14003.5 9459352.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:54] 153    -9009.32 [    14003.511763972.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:55] 154    -9009.02 [    14003.515492926.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:56] 155    -9008.88 [    14003.518354131.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:58] 156    -9008.72 [    14003.522983659.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:59] 157     -9008.6 [    14003.528411361.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:00] 158    -9008.49 [    14003.537193567.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:01] 159    -9008.42 [    14003.544290295.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:03] 160    -9008.36 [    14003.555773042.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:04] 161    -9008.31 [    14003.568624452.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:05] 162    -9008.26 [    14003.589418470.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:07] 163    -9008.23 [    14003.5106903980.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
