[24-11-05 11:39:06] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:39:06] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:41:14] 121    -4720.28 [   669076.3    7170.0  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:15] 122    -4720.27 [   669076.3    7162.1  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:17] 123    -4720.28 [   669076.3    7154.4  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:18] 124    -4720.27 [   669076.3    7162.1  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:19] 125    -4720.27 [   669076.3    7162.1  626782.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:20] 126    -4720.27 [   669076.3    7162.1  626784.5    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:22] 127    -4719.97 [   669076.3    7162.1  626960.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:23] 128    -4719.61 [   669076.3    7162.1  627448.1    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:24] 129    -4720.55 [   669076.3    7162.1  628236.5    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:25] 130    -4719.75 [   669076.3    7162.1  627749.2    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:27] 131    -4719.66 [   669076.3    7162.1  627262.0    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:28] 132    -4719.61 [   669076.3    7162.1  627441.5    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:29] 133    -4719.61 [   669076.3    7162.1  627454.8    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:30] 134    -4719.61 [   669076.3    7162.1  627448.1    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:31] 135    -4721.57 [   669076.3    7162.1  627448.1    1940.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:33] 136    -4716.47 [   669076.3    7162.1  627448.1    1937.9    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:34] 137    -4500.21 [   669076.3    7162.1  627448.1    1761.6    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:35] 138    -4478.55 [   669076.3    7162.1  627448.1    1697.8    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:36] 139    -4499.45 [   669076.3    7162.1  627448.1    1594.6    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:38] 140    -4478.67 [   669076.3    7162.1  627448.1    1658.3    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:39] 141    -4483.55 [   669076.3    7162.1  627448.1    1722.1    2798.4   20871.8   24302.7  9.06e-06 ]
